attendance,endDate,eventID,name,roomNights,rooms,sqft,startDate,subDate,type,isBooked,baselinePrice,cost
1100,43173,16335,NFL Retail Symposium,120,['Exhibit Hall C1'],515000,43169,43152,PUB,1,,
19300,43213,16357,DECA 2018,25450,"['Exhibit Hall B1', ' Exhibit Hall B2', ' Exhibit Hall B3', ' Exhibit Hall B4', ' Exhibit Hall B5', ' International Plaza', ' Meeting Room A302', ' Meeting Room A305', ' Meeting Room A311-A312', ' Meeting Room B201', ' Meeting Room B202', ' Meeting Room B203', ' Meeting Room B204', ' Meeting Room B205', ' Meeting Room B206', ' Meeting Room B207', ' Meeting Room B208', ' Meeting Room B209', ' Meeting Room B210', ' Meeting Room B211', ' Meeting Room B212', ' Meeting Room B213', ' Meeting Room B214', ' Meeting Room B215', ' Meeting Room B301', ' Meeting Room B302-B304', ' Meeting Room B305', ' Meeting Room B307', ' Meeting Room B308-B309', ' Meeting Room B310', ' Meeting Room B311', ' Meeting Room B312-B314', ' Meeting Room B318', ' Meeting Room B401-B402', ' Meeting Room B403', ' Meeting Room B404', ' Meeting Room B405', ' Meeting Room B406', ' Meeting Room B407', ' Thomas Murphy Ballroom 1-4']",3278868,43210,43011,CONF,1,,
16,43044,16370,Big Data Bootcamp,,['Meeting Room C208'],4290,43042,42977,MEET,1,,
250,43025,16396,Levy Restaurants Training Series,,"['Meeting Room A404', ' Meeting Room A405', ' Meeting Room C208-C210', ' Meeting Room C211', ' Meeting Room C212', ' Meeting Room C213', ' Meeting Room C301', ' Meeting Room C302']",33195,42999,42977,JF,1,,
30000,43576,16418,Sweetwater 420 Fest,300,"['All North Park', ' Entire Park', ' Yellow Lot North East', ' Yellow Lot North West']",0,43574,43276,FEST,1,,
30,42980,16421,ESPN College GameDay Production Offices,1,['Meeting Room B403'],6546,42977,42978,MEET,1,,
3200,43071,16432,SEC Dr Pepper Hospitality Party,1,['Exhibit Hall C4'],728800,43071,42962,PRTY,1,,
1480,43406,16443,State of the Region Breakfast,1,"['Georgia Ballroom 1-3', ' Georgia Ballroom Dressing Room 1', ' Georgia Ballroom Dressing Room 2', ' Georgia Ballroom Dressing Room 3', ' Georgia Ballroom Dressing Room 4', ' Georgia Ballroom Green Room', ' Georgia Ballroom Mezzanine', ' Georgia Ballroom Patio']",78536,43406,43136,ME,1,,
3200,43526,16456,Domotex USA,6360,"['Building A Registration Hall', ' Exhibit Hall A1', ' Exhibit Halls A2-A3 Combined', ' Meeting Room A301', ' Meeting Room A302', ' Meeting Room A303', ' Meeting Room A304', ' Meeting Room A305', ' Meeting Room A306', ' Meeting Room A307', ' Meeting Room A308a', ' Meeting Room A308b', ' Meeting Room A309', ' Meeting Room A310', ' Meeting Room A311', ' Meeting Room A312', ' Meeting Room A313', ' Meeting Room A314', ' Meeting Room A315', ' Meeting Room A316', ' Meeting Room A401', ' Meeting Room A402', ' Meeting Room A403', ' Meeting Room A404', ' Meeting Room A405', ' Meeting Room A406', ' Meeting Room A407', ' Meeting Room A408', ' Meeting Room A409', ' Meeting Room A410', ' Meeting Room A411', ' Meeting Room A412']",3025841,43524,43060,CONV,1,,
15000,43660,16477,Atlanta Comic Con,1350,"['Building B-C Connector West', ' Building C Connector Overlook', ' Building C Registration Storage', ' Exhibit Hall C1', ' Exhibit Hall C2', ' Exhibit Hall C3', ' Hall C1 Show Office', ' Hall C2 Show Office', ' Meeting Room C103', ' Meeting Room C104', ' Meeting Room C105', ' Meeting Room C106', ' Meeting Room C107', ' Meeting Room C108', ' Meeting Room C109', ' Meeting Room C110', ' Room C101 Auditorium', ' Room C102 Auditorium']",1671020,43658,43304,PUB,1,,
